altitude,distance,duration,lat,lng,placename
2782.93261719,0,0.0,27.6856603,86.7278059,Lukla
2797.36621094,412,9.26666666667,27.6864224,86.7274199,
2852.47363281,4162,69.1666666667,27.6889772,86.7302543,
2625.83837891,12121,202.3,27.7123762,86.7137119,
2758.70849609,17176,304.3,27.7662919,86.7234148,
3390.57714844,17519,311.9,27.802444,86.7107879,
3429.0546875,17679,314.75,27.8047732,86.7105004,
3444.93408203,17892,320.283333333,27.8038319,86.7111408,
3506.71704102,17894,320.316666667,27.8046859,86.7129662,
3506.96435547,18192,326.183333333,27.8046708,86.7129736,
3607.90136719,18192,326.183333333,27.8068745,86.7139704,Namche Bazaar
